100
0	11	0	23	0	27	46	0	38	0	24	29	0	43	28	0	48	45	19	17	21	22	0	32	11	17	15	46	26	30	0	5	8	0	0	24	25	32	0	0	0	11	0	0	16	34	35	31	38	34	0	27	0	0	47	32	46	44	43	44	0	0	25	36	43	41	10	0	39	30	30	3	0	27	33	30	38	0	29	38	25	13	32	0	0	15	0	10	5	49	0	20	23	0	36	36	14	44	27	24	
11	0	49	12	42	0	3	28	0	11	0	0	0	19	0	0	0	6	34	0	14	32	43	0	39	6	13	11	17	0	39	2	0	0	14	20	9	0	16	49	0	0	46	0	45	21	14	0	37	6	0	0	13	38	0	27	11	0	0	25	49	31	48	27	3	0	0	38	0	33	2	44	1	27	15	2	0	0	7	9	0	49	21	36	34	48	0	0	24	30	31	36	10	48	12	14	5	29	38	43	
0	49	0	33	31	10	10	0	0	0	36	0	47	46	2	10	10	0	19	0	18	18	49	0	37	25	41	0	0	21	20	35	0	0	3	13	0	43	9	36	24	0	0	23	0	1	0	42	0	0	45	18	3	34	0	0	6	12	2	0	44	1	8	29	11	2	0	33	23	29	9	9	44	20	9	0	0	3	49	0	37	0	36	17	11	0	0	0	11	10	0	0	41	12	43	0	34	45	0	15	
23	12	33	0	42	42	10	0	33	0	0	10	18	18	29	0	0	10	0	0	0	31	28	24	45	11	43	2	7	0	0	3	0	16	13	29	27	0	0	37	9	45	0	0	30	0	45	0	0	3	0	10	0	0	18	23	36	10	41	29	10	14	0	0	25	0	0	16	0	0	23	44	45	0	3	45	36	48	0	26	0	36	42	10	26	8	38	0	13	13	15	41	49	42	34	28	23	4	11	2	
0	42	31	42	0	0	21	26	0	0	10	6	19	0	15	30	17	31	39	30	30	42	12	39	31	43	45	0	0	0	17	0	0	0	0	6	0	0	45	20	13	0	1	16	22	18	0	39	42	37	0	25	32	30	11	0	22	49	3	12	27	0	19	36	44	0	0	46	0	0	43	6	0	7	29	20	29	0	37	0	18	30	0	8	5	0	10	43	36	45	0	0	20	0	16	26	0	27	0	10	
27	0	10	42	0	0	0	36	34	49	4	0	23	26	47	0	45	47	3	25	16	26	26	38	0	30	0	0	10	11	0	37	22	15	10	0	32	47	43	0	9	38	13	41	48	22	0	0	14	1	42	30	43	6	25	16	1	26	2	5	2	10	42	0	0	0	35	33	0	26	22	29	12	6	10	27	15	29	33	0	6	37	0	22	0	0	0	19	28	32	46	48	0	13	19	21	0	36	23	13	
46	3	10	10	21	0	0	13	23	0	35	4	22	0	45	21	0	12	7	8	11	39	44	19	0	33	16	23	45	0	13	29	0	11	36	11	19	9	34	0	42	2	48	37	40	10	0	0	0	34	29	0	0	0	0	47	41	9	0	1	0	11	18	27	40	0	3	20	24	0	0	0	47	42	16	14	12	20	0	0	39	0	21	44	25	45	49	4	45	31	0	36	39	0	48	25	15	0	0	1	
0	28	0	0	26	36	13	0	43	2	11	48	32	12	0	10	35	12	11	2	33	0	0	4	10	1	11	0	35	1	13	26	40	0	23	12	0	0	0	0	0	10	41	0	47	25	0	40	4	0	0	47	0	26	8	1	44	6	1	19	0	25	8	0	21	1	0	0	15	18	12	40	42	0	18	0	8	0	13	0	0	48	0	25	2	15	0	0	0	28	21	22	5	0	28	21	32	35	0	0	
38	0	0	33	0	34	23	43	0	9	14	0	31	6	45	27	41	28	43	33	45	10	42	0	1	0	42	0	0	12	43	41	42	17	28	40	46	17	0	0	0	4	0	21	39	16	2	42	8	10	5	0	23	0	40	0	0	0	46	14	26	27	9	0	5	45	0	35	23	17	15	36	0	15	33	34	12	12	31	30	0	37	0	0	0	33	0	26	4	22	37	30	0	6	42	22	0	0	3	0	
0	11	0	0	0	49	0	2	9	0	42	44	13	6	39	33	39	0	12	8	13	18	0	0	2	3	44	4	12	0	13	34	38	0	0	15	31	2	25	0	0	15	15	15	25	40	10	6	18	18	0	22	7	39	0	0	20	27	36	0	6	14	44	44	28	34	16	12	27	42	0	19	1	0	0	12	21	19	39	37	10	0	0	43	9	0	33	7	37	34	0	39	0	0	27	21	29	43	9	19	
